,id,Model,Accuracy,Imputation,Categorical Features Convert,Scaling,Feature selection,Hyperparameters tuning
1,1,K Neighbors Classifier,0.79464,knn_imputer,label_encoder_fun,normalization,predictors_selector,True
4,4,"Logistic Regression, penalty = l2",0.78766,knn_imputer,label_encoder_fun,normalization,predictors_selector,True
3,3,"Logistic Regression, penalty = l1",0.78619,knn_imputer,label_encoder_fun,normalization,predictors_selector,True
9,9,Adaboost Classifier,0.78619,knn_imputer,label_encoder_fun,normalization,predictors_selector,True
8,8,Gradient Boosting Classifier,0.78619,knn_imputer,label_encoder_fun,normalization,predictors_selector,True
6,6,Bagging,0.78202,knn_imputer,label_encoder_fun,normalization,predictors_selector,True
5,5,Decision Tree Classifier,0.77921,knn_imputer,label_encoder_fun,normalization,predictors_selector,True
7,7,Random Forest Classifier,0.77921,knn_imputer,label_encoder_fun,normalization,predictors_selector,True
